Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,086282,1984,02,12.8,Y
IDCJAC0004,086282,1984,03,11.2,Y
IDCJAC0004,086282,1984,04,9.1,Y
IDCJAC0004,086282,1984,05,6.6,Y
IDCJAC0004,086282,1984,06,5.9,Y
IDCJAC0004,086282,1984,07,4.1,Y
IDCJAC0004,086282,1984,08,6.6,Y
IDCJAC0004,086282,1984,09,6.3,Y
IDCJAC0004,086282,1984,10,8.4,Y
IDCJAC0004,086282,1984,11,10.4,Y
IDCJAC0004,086282,1984,12,10.2,Y
IDCJAC0004,086282,1985,01,12.2,Y
IDCJAC0004,086282,1985,02,12.1,Y
IDCJAC0004,086282,1985,03,14.3,Y
IDCJAC0004,086282,1985,04,11.6,Y
IDCJAC0004,086282,1985,05,8.4,Y
IDCJAC0004,086282,1985,06,5.6,Y
IDCJAC0004,086282,1985,07,4.4,Y
IDCJAC0004,086282,1985,08,5.9,Y
IDCJAC0004,086282,1985,09,6.8,Y
IDCJAC0004,086282,1985,10,7.9,Y
IDCJAC0004,086282,1985,11,10.8,Y
IDCJAC0004,086282,1985,12,12.3,Y
IDCJAC0004,086282,1986,01,11.4,Y
IDCJAC0004,086282,1986,02,12.1,Y
IDCJAC0004,086282,1986,03,12.7,Y
IDCJAC0004,086282,1986,04,9.6,Y
IDCJAC0004,086282,1986,05,8.8,Y
IDCJAC0004,086282,1986,06,5.8,Y
IDCJAC0004,086282,1986,07,5.4,Y
IDCJAC0004,086282,1986,08,5.4,Y
IDCJAC0004,086282,1986,09,6.9,Y
IDCJAC0004,086282,1986,10,7.5,Y
IDCJAC0004,086282,1986,11,9.5,Y
IDCJAC0004,086282,1986,12,10.7,Y
IDCJAC0004,086282,1987,01,11.0,Y
IDCJAC0004,086282,1987,02,11.8,Y
IDCJAC0004,086282,1987,03,10.9,Y
IDCJAC0004,086282,1987,04,10.5,Y
IDCJAC0004,086282,1987,05,8.5,Y
IDCJAC0004,086282,1987,06,6.4,Y
IDCJAC0004,086282,1987,07,4.6,Y
IDCJAC0004,086282,1987,08,6.0,Y
IDCJAC0004,086282,1987,09,7.9,Y
IDCJAC0004,086282,1987,10,8.2,Y
IDCJAC0004,086282,1987,11,11.1,Y
IDCJAC0004,086282,1987,12,11.3,Y
IDCJAC0004,086282,1988,01,14.3,Y
IDCJAC0004,086282,1988,02,12.9,Y
IDCJAC0004,086282,1988,03,13.0,Y
IDCJAC0004,086282,1988,04,11.1,Y
IDCJAC0004,086282,1988,05,10.2,Y
IDCJAC0004,086282,1988,06,6.8,Y
IDCJAC0004,086282,1988,07,6.4,Y
IDCJAC0004,086282,1988,08,6.5,Y
IDCJAC0004,086282,1988,09,7.4,Y
IDCJAC0004,086282,1988,10,8.6,Y
IDCJAC0004,086282,1988,11,10.3,Y
IDCJAC0004,086282,1988,12,13.5,Y
IDCJAC0004,086282,1989,01,13.1,Y
IDCJAC0004,086282,1989,02,14.2,Y
IDCJAC0004,086282,1989,03,14.4,Y
IDCJAC0004,086282,1989,04,11.4,Y
IDCJAC0004,086282,1989,05,9.3,Y
IDCJAC0004,086282,1989,06,5.0,Y
IDCJAC0004,086282,1989,07,4.8,Y
IDCJAC0004,086282,1989,08,4.9,Y
IDCJAC0004,086282,1989,09,6.5,Y
IDCJAC0004,086282,1989,10,7.7,Y
IDCJAC0004,086282,1989,11,10.7,Y
IDCJAC0004,086282,1989,12,11.8,Y
IDCJAC0004,086282,1990,01,13.5,Y
IDCJAC0004,086282,1990,02,13.6,Y
IDCJAC0004,086282,1990,03,12.5,Y
IDCJAC0004,086282,1990,04,10.9,Y
IDCJAC0004,086282,1990,05,7.4,Y
IDCJAC0004,086282,1990,06,5.7,Y
IDCJAC0004,086282,1990,07,6.3,Y
IDCJAC0004,086282,1990,08,5.6,Y
IDCJAC0004,086282,1990,09,6.9,Y
IDCJAC0004,086282,1990,10,9.0,Y
IDCJAC0004,086282,1990,11,10.6,Y
IDCJAC0004,086282,1990,12,12.1,Y
IDCJAC0004,086282,1991,01,14.7,Y
IDCJAC0004,086282,1991,02,12.1,Y
IDCJAC0004,086282,1991,03,11.5,Y
IDCJAC0004,086282,1991,04,9.2,Y
IDCJAC0004,086282,1991,05,8.0,Y
IDCJAC0004,086282,1991,06,8.4,Y
IDCJAC0004,086282,1991,07,6.4,Y
IDCJAC0004,086282,1991,08,5.9,Y
IDCJAC0004,086282,1991,09,6.9,Y
IDCJAC0004,086282,1991,10,9.6,Y
IDCJAC0004,086282,1991,11,8.9,Y
IDCJAC0004,086282,1991,12,11.7,Y
IDCJAC0004,086282,1992,01,11.3,Y
IDCJAC0004,086282,1992,02,13.0,Y
IDCJAC0004,086282,1992,03,14.4,Y
IDCJAC0004,086282,1992,04,10.8,Y
IDCJAC0004,086282,1992,05,8.5,Y
IDCJAC0004,086282,1992,06,6.7,Y
IDCJAC0004,086282,1992,07,6.2,Y
IDCJAC0004,086282,1992,08,5.0,Y
IDCJAC0004,086282,1992,09,6.3,Y
IDCJAC0004,086282,1992,10,9.4,Y
IDCJAC0004,086282,1992,11,9.8,Y
IDCJAC0004,086282,1992,12,13.8,Y
IDCJAC0004,086282,1993,01,14.3,Y
IDCJAC0004,086282,1993,02,14.6,Y
IDCJAC0004,086282,1993,03,12.6,Y
IDCJAC0004,086282,1993,04,10.9,Y
IDCJAC0004,086282,1993,05,8.6,Y
IDCJAC0004,086282,1993,06,6.8,Y
IDCJAC0004,086282,1993,07,6.3,Y
IDCJAC0004,086282,1993,08,6.8,Y
IDCJAC0004,086282,1993,09,8.0,Y
IDCJAC0004,086282,1993,10,8.3,Y
IDCJAC0004,086282,1993,11,9.7,Y
IDCJAC0004,086282,1993,12,11.7,Y
